batch_size,buffer_size,init_entcoef,train_interval,tau,num_layers,hidden_units,value
524,1000000.0,0.9708121591237036,2,0.009088221836351417,2,259,0.003
1193,100000.0,0.5432526634763086,3,0.00557687640115915,1,473,0.003
1526,1000000.0,0.7056824484026215,3,0.006998445388121553,1,244,0.003
1601,1000000.0,0.9951664871330167,2,0.009767041296190826,2,299,1.002
372,500000.0,0.9042736461150964,5,0.009708732538921929,3,149,1.004
2009,1000000.0,0.9885372955376176,2,0.008372396309400202,2,352,0.001
2048,100000.0,0.5,5,0.005,1,512,2.005
2005,500000.0,0.525833688497571,5,0.009588067559615946,3,140,1.002
1908,1000000.0,0.9519815737973532,2,0.007556657943869403,2,436,1.003
